,id,player_api_id,player_name,player_fifa_api_id,birthDate,wyId,currentTeamId,Position
89,4474,33856,Ivan Ramis,146701,1984-10-25,3642,701,Defender
90,8723,477023,Rafa Silva,216547,1993-05-17,222676,9607,Midfielder
91,217,297556,Ahmed Hegazy,210648,1991-01-25,119951,1627,Defender
92,217,297556,Ahmed Hegazy,210648,1991-01-25,4052,792,Forward
93,1830,319055,Chuli,207711,1991-01-25,119951,1627,Defender
94,1830,319055,Chuli,207711,1991-01-25,4052,792,Forward
95,3330,33848,Fernando Navarro,53014,1982-06-25,3465,,Defender
96,6484,481722,Mahmoud Kahraba,219740,1994-04-13,119932,16469,Midfielder
97,2927,11758,Eliseu,2492,1983-10-01,3570,,Defender
98,10792,257865,William Carvalho,207566,1992-04-07,37762,684,Midfielder
99,10792,257865,William Carvalho,207566,1992-04-07,5400,691,Forward
100,3774,246438,Gerard Moreno,208093,1992-04-07,37762,684,Midfielder
101,3774,246438,Gerard Moreno,208093,1992-04-07,5400,691,Forward
102,9699,30962,Sergio Ramos,155862,1986-03-30,3306,675,Defender
103,9667,193224,Sergi Enrich,194879,1990-02-26,4048,701,Forward
104,8789,213878,Ramiro Funes Mori,199667,1991-03-05,86325,682,Defender
105,4711,74747,Javi Fuego,146460,1984-01-04,4332,682,Midfielder
106,8513,40668,Pedro Mosquera,178625,1988-04-21,4511,677,Midfielder
107,7656,339992,Mohamed Elneny,213051,1992-07-11,120339,1609,Midfielder
108,10613,183101,Victor Laguardia,194222,1989-11-05,4358,696,Defender
109,10342,183449,Tito,145889,1985-07-11,4326,712,Defender
110,4273,183462,Hugo Mallo,194229,1991-06-22,3827,692,Defender
111,1995,30893,Cristiano Ronaldo,20801,1985-02-05,3322,3159,Forward
112,7773,38521,Nacho Monreal,177604,1986-02-26,3560,1609,Defender
113,3622,202341,Gabriel Silva,197688,1991-05-13,21550,3782,Defender
114,8180,212470,Oriol Romeu,199576,1991-09-24,7899,1619,Midfielder
115,5419,427893,Jozabed,210214,1991-03-08,4911,692,Midfielder
116,2624,150395,Diego Farias,189485,1990-05-10,23314,3173,Forward
117,5428,282691,Juan Bernat,205069,1993-03-01,3281,2444,Defender
118,4410,191315,Isco,197781,1992-04-21,3563,675,Midfielder
119,10523,571623,Unai Bustinza,224869,1992-02-02,6365,712,Defender
120,8188,167439,Osama Hawsawi,191256,1984-03-31,122839,16474,Defender
121,8266,240054,Pablo Sarabia,198950,1992-05-11,4015,680,Midfielder
122,214,111930,Ahmed El Mohamady,191005,1987-09-09,8525,1614,Midfielder
123,5361,238841,Jose Recio,201893,1991-01-11,3568,683,Midfielder
124,1473,452243,Burgui,215644,1993-10-29,226005,696,Midfielder
125,7329,191788,Mexer,196801,1988-09-08,70711,3774,Defender
126,10188,80562,Thiago Silva,164240,1984-09-22,20394,3767,Defender
127,9229,292262,Roque Mesa,204277,1989-06-07,4365,680,Midfielder
128,4243,26138,Hilton,153260,1977-09-13,25993,3787,Defender
129,9494,428947,Santi Mina,212623,1995-12-07,250885,674,Forward
130,1586,518240,Carlos Vigaray,221923,1994-09-07,250899,696,Defender
131,1248,488139,Bernardo Silva,218667,1994-08-10,265673,1625,Midfielder
132,9683,154257,Sergio Busquets,189511,1988-07-16,3346,676,Midfielder
133,6568,268282,Manuel Trigueros,206545,1991-10-17,3542,682,Midfielder
134,1442,267911,Bruno Peres,210282,1990-03-01,44251,5638,Defender
135,519,476771,Ali Adnan,223198,1993-12-19,131184,3163,Defender
136,2757,242308,Dong-Won Ji,199266,1991-05-28,8537,2481,Forward
137,2781,346000,Douglas Santos,210822,1994-03-22,143566,2450,Defender
138,8925,306128,Ricardo Pereira,210243,1993-10-06,70381,1631,Defender
139,3335,30853,Fernando Torres,49369,1984-03-20,7908,679,Forward
140,8816,34029,Raul Albiol,157481,1985-09-04,3300,3187,Defender
141,2634,420568,Diego Llorente,212602,1993-08-16,225996,687,Defender
142,5447,41468,Juan Mata,178088,1988-04-28,7906,1611,Midfielder
143,1635,72541,Cesar Azpilicueta,184432,1989-08-28,25553,1610,Defender
144,8162,359191,Omar Mascarell,208620,1993-02-02,4509,2462,Midfielder
145,2079,183497,Dani Castellano,190093,1987-11-02,4371,714,Defender
146,2079,183497,Dani Castellano,190093,1987-11-02,4361,714,Midfielder
147,4709,128721,Javi Castellano,190094,1987-11-02,4371,714,Defender
148,4709,128721,Javi Castellano,190094,1987-11-02,4361,714,Midfielder
149,3180,359188,Fabinho,209499,1993-10-23,207143,19830,Midfielder
150,610,164676,Ander Herrera,191740,1989-08-14,3413,1611,Midfielder
151,2439,99047,David Zurutuza,172290,1986-07-19,3680,687,Midfielder
152,430,157865,Alex Sandro,191043,1991-01-26,70084,3159,Defender
153,7508,40608,Miguel Veloso,178007,1986-05-11,21288,,Midfielder
154,3613,535938,Gabriel Boschilia,221701,1996-03-05,255320,19830,Midfielder
155,4437,361321,Iuri Medeiros,212230,1994-07-10,70974,3193,Forward
156,507,629594,Alfonso Pedraza,228302,1996-04-09,359847,696,Midfielder
157,1975,282692,Cristian Portu,205070,1992-05-21,3287,756,Midfielder
158,6752,196169,Marcos Alonso,192638,1990-12-28,8032,1610,Defender
159,6680,498033,Marco Asensio,220834,1996-01-21,288091,675,Midfielder
160,10993,80295,Yuri Berchiche,183512,1990-02-10,4452,3767,Defender
161,9700,300532,Sergio Rico,206652,1993-09-01,3458,680,Goalkeeper
162,7788,40945,Nani,139068,1986-11-17,7926,3162,Midfielder
163,8045,213486,Nolito,199561,1986-10-15,70125,680,Forward
164,6579,195305,Marc Bartra,198141,1991-01-15,3335,684,Defender
165,7867,19533,Neymar,190871,1992-02-05,40810,3767,Forward
166,7507,41470,Miguel Torres,178746,1986-01-28,4003,683,Defender
167,1031,33958,Asier Riesgo,110974,1983-10-06,3488,701,Goalkeeper
168,10873,260659,Ximo Navarro,198023,1990-01-23,4272,714,Defender
169,5702,467354,Kenedy,215639,1996-02-08,254898,1613,Midfielder
170,1529,213694,Carles Planas,200517,1991-03-04,4789,756,Defender
171,5838,108809,Kike Sola,185073,1986-02-25,3517,,Forward
172,287,41168,Alberto Bueno,178087,1988-03-20,3779,683,Forward
173,2425,243163,David Timor Copovi,199829,1989-10-17,3510,756,Midfielder
174,3952,33764,Gorka Iraizoz Moreno,114764,1981-03-06,3399,756,Goalkeeper
175,200,40930,Adrien Silva,184826,1989-03-15,70403,1631,Midfielder
176,200,40930,Adrien Silva,184826,1989-03-15,8291,3219,Midfielder
177,9482,156727,Sandro,190782,1989-03-15,70403,1631,Midfielder
178,9482,156727,Sandro,190782,1989-03-15,8291,3219,Midfielder
179,8247,683450,Pablo Fornals,226456,1996-02-22,399676,682,Midfielder
180,2111,282674,Daniel Carvajal,204963,1992-01-11,4501,675,Defender
181,6286,95327,Lucas Leiva,176266,1987-01-09,7965,3162,Midfielder
182,10757,487867,Wendell,216466,1993-07-20,40657,2446,Defender
183,6546,38701,Manuel Fernandes,157960,1986-02-05,32599,13887,Midfielder
184,9666,282472,Sergi Darder,202648,1993-12-22,3803,691,Midfielder
185,300,314605,Alberto Moreno,205566,1992-07-05,4908,1612,Defender
186,3311,40196,Fernandinho,135507,1985-05-04,105339,1625,Midfielder
187,9477,477615,Sandro Ramirez,217731,1995-07-09,5911,680,Forward
188,5375,172321,Joselu,173608,1990-03-27,3327,1613,Forward
189,6379,115519,Luisinho,180359,1985-05-05,70451,677,Defender
190,907,202553,Antonio Luna,199157,1991-03-17,3464,695,Defender
191,8271,214452,Pablo,201315,1991-06-21,41127,3772,Defender
192,5467,38424,Juanfran,146760,1985-01-09,3447,679,Defender
193,4030,206301,Guerrero,198150,1990-07-12,5481,712,Forward
194,9125,675088,Rodrigo Hernandez,231866,1996-06-22,364860,682,Midfielder
195,5155,191140,Jonas Ramalho,189576,1993-06-10,3407,756,Defender
196,2252,38432,Dante,158625,1983-10-18,15010,3775,Defender
197,3292,27719,Felipe,768,1984-07-31,20928,3204,Defender
198,8748,105828,Rafael,140082,1982-03-03,21299,3173,Goalkeeper
199,1892,151063,Coke,172316,1987-04-26,3460,695,Defender
200,7972,282774,Nicolas,205496,1988-04-12,21298,3194,Goalkeeper
201,9160,31300,Rolando,163083,1985-08-31,70088,3771,Defender
202,7771,213499,Nacho Fernandez,200724,1990-01-18,3304,675,Defender
203,10144,484906,Tana,219808,1990-09-20,4969,714,Midfielder
204,5342,37411,Jose Manuel Jurado,159171,1986-06-29,14866,691,Midfielder
205,8763,25819,Raffael,144622,1985-03-28,15107,2454,Forward
206,1670,213653,Charles,164029,1984-04-04,385273,701,Forward
207,5291,282775,Jorginho,205498,1991-12-20,21315,3187,Midfielder
208,2217,208077,Danilo,199304,1991-07-15,70083,1625,Defender
209,1425,268273,Bruno Gonzalez,200228,1990-05-24,5677,698,Defender
210,5213,128732,Jonathas,189169,1989-03-06,20728,5656,Forward
211,8098,101590,Oier Olazabal,183141,1989-09-14,3330,695,Goalkeeper
212,927,45244,Antunes,178424,1987-04-01,93000,698,Defender
213,8328,358149,Patric,206098,1993-04-17,4792,3162,Defender
214,9087,37623,Roberto,183666,1986-02-10,3719,683,Goalkeeper
215,6817,183185,Mario Gaspar,192789,1990-11-24,3529,682,Defender
216,9431,453324,Samir,215651,1994-12-05,248950,3163,Defender
217,1406,361322,Bruma,211368,1994-10-24,70975,2975,Forward
218,8525,150250,Pedro Rodriguez,189505,1987-07-28,3360,1610,Forward
219,9132,193869,Rodrigo,198329,1991-03-06,70129,674,Forward
220,8425,114971,Paulinho,187961,1988-07-25,40550,9174,Midfielder
221,4342,242418,Ignasi Miquel,196935,1992-09-28,7857,683,Defender
222,4342,242418,Ignasi Miquel,196935,1992-09-28,3484,3162,Midfielder
223,6343,198566,Luis Alberto,198706,1992-09-28,7857,683,Defender
224,6343,198566,Luis Alberto,198706,1992-09-28,3484,3162,Midfielder
225,2841,362198,Eder Citadin Martins,178311,1986-11-15,20626,3161,Forward
226,4705,489240,Jaume,220604,1990-11-05,215265,674,Goalkeeper
227,2847,363364,Ederson Moraes,210257,1993-08-17,71654,1625,Goalkeeper
228,3626,265273,Gabriel,201931,1992-09-27,40820,3179,Goalkeeper
229,10811,94086,Willian,180403,1988-08-09,105333,1610,Midfielder
230,5466,103905,Juanfran,188135,1988-09-11,3325,677,Defender
231,4041,196824,Guilherme,200438,1991-05-21,70834,3219,Midfielder
232,1305,96643,Bojan Krkic,176993,1990-08-28,20450,696,Forward
233,1449,42479,Bruno Soriano,184120,1984-06-12,3541,682,Midfielder
234,5477,191873,Juanmi,197891,1993-05-20,3576,687,Forward
235,7783,265275,Naldo,202054,1988-08-25,41124,691,Defender
236,8750,38994,Rafael,210342,1990-07-09,7920,3766,Defender
237,8507,154264,Pedro Mendes,200677,1990-10-01,3308,3787,Defender
238,1409,25920,Bruno Alves,138110,1981-11-27,101558,3160,Defender
239,2893,43283,Eduardo,163873,1982-09-19,70106,24,Goalkeeper
240,7784,28480,Naldo,171919,1982-09-10,14689,2449,Defender
241,8775,27303,Rafinha,168607,1985-09-07,14718,2444,Defender
242,4042,267863,Guilherme,209236,1991-04-05,40614,677,Midfielder
243,10259,434325,Thomas,209989,1993-06-13,217031,679,Midfielder
244,8749,172157,Rafael,192397,1990-05-20,40774,3187,Goalkeeper
245,8519,660010,Pedro Pereira,230824,1998-01-22,345740,3193,Defender
246,3500,193226,Francisco Portillo,193844,1990-06-13,3572,698,Midfielder
247,503,37479,Alexis,135742,1985-08-04,3466,696,Defender
248,3608,33635,Gabi,146954,1983-07-10,3441,679,Midfielder
249,8542,25921,Pepe,120533,1983-02-26,3305,4489,Defender
250,9763,121872,Sidnei,182002,1989-06-23,32577,677,Defender
251,2216,19249,Danilo,166072,1984-05-10,20583,3163,Defender
252,8774,242469,Rafinha,201400,1993-02-12,3344,3161,Midfielder
253,539,188652,Allan,199914,1991-01-08,70507,701,Defender
254,539,188652,Allan,199914,1991-01-08,40726,3187,Midfielder
255,4238,30455,Heurelho Gomes,135451,1981-02-15,8266,1644,Goalkeeper
256,6897,96619,Markel Susaeta,189354,1987-12-14,3420,678,Midfielder
257,7684,37510,Momo,146058,1982-07-15,4362,714,Midfielder
258,7807,521945,Nathan,222060,1996-03-13,285139,5653,Midfielder
259,10103,280276,Suso,202651,1993-11-19,11063,3157,Forward
260,7861,176186,Neto,194404,1989-07-19,20922,674,Goalkeeper
261,10941,192064,Yoel Rodriguez,185181,1988-08-28,3823,701,Goalkeeper
262,6985,213688,Martin Montoya,194644,1991-04-14,3339,674,Defender
263,9142,303088,Roger,207732,1991-01-03,3937,695,Forward
